,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,25,25,25,48,48,48,48,48,48,48,48
Reserves,381,410,513,1083,1494,2181,2979,3932,4763,6217,6746
Borrowings,682,920,979,531,847,2141,3210,4525,5282,5697,6324
Other Liabilities,228,301,561,855,723,1458,1546,1586,1567,1820,1787
Total Liabilities,1316,1656,2077,2517,3112,5829,7783,10091,11660,13782,14904
Fixed Assets,235,547,698,384,615,930,1029,1345,1485,1439,1372
CWIP,148,73,28,17,48,43,28,55,59,72,56
Investments,10,41,55,151,79,10,2,103,3,56,143
Other Assets,922,996,1297,1966,2370,4846,6725,8588,10113,12215,13334
Total Assets,1316,1656,2077,2517,3112,5829,7783,10091,11660,13782,14904
