,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,489.15,609.67,604.54,498.73,133.71,243.6,118.1,70.20
Expenses,624.68,605.68,625.41,551.55,132.79,241.12,112.27,65.15
Operating Profit,-135.53,3.99,-20.87,-52.82,0.92,2.48,5.83,5.05
OPM %,-27.71,0.65,-3.45,-10.59,0.69,1.02,4.94,7.19
Other Income,214.92,26.82,11.99,8.07,16.92,20.86,4.36,3.75
Interest,43.65,12.42,12.88,11.42,10.78,6.83,3.59,3.46
Depreciation,0.83,0.93,0.89,0.89,0.82,0.79,0.81,0.71
Profit before tax,34.91,17.46,-22.65,-57.06,6.24,15.72,5.79,4.63
Tax %,-2.52,20.85,32.94,33.79,28.04,36.2,12.26,
Net Profit,35.78,13.82,-15.19,-37.78,4.49,10.03,5.08,2.40
EPS in Rs,12.89,4.98,-5.47,-13.61,1.62,3.61,1.83,0.87
