,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.03,3.05,3.08,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59
Reserves,2.34,2.47,4.23,9.9,12.34,13.25,12.18,11.67,12.52,11.38,10.89
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,0.0,0.61,0.75
Other Liabilities,0.24,0.23,1.22,5.43,1.06,0.95,3.4,2.84,2.5,3.64,3.06
Total Liabilities,4.61,5.75,8.53,18.92,16.99,17.79,19.17,19.78,18.61,19.22,18.29
Fixed Assets,1.7000000000000002,1.8,1.92,3.25,3.5700000000000003,3.44,3.29,3.45,3.31,3.2,12.16
CWIP,0.0,0.0,0.74,1.7000000000000002,2.49,4.02,5.49,6.16,8.99,8.99,0.0
Investments,0.0,0.0,0.12,0.07,0.07,0.08,0.03,0.03,0.03,0.0,0.0
Other Assets,2.91,3.95,5.75,13.9,10.86,10.25,10.36,10.14,6.28,7.03,6.13
Total Assets,4.61,5.75,8.53,18.92,16.99,17.79,19.17,19.78,18.61,19.22,18.29
