,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.07,5.49,7.2,7.8,11.34,10.75,12.91,16.2,16.86,17.32,16.03
Expenses,2.53,4.13,5.36,5.49,8.46,9.75,14.21,16.32,16.31,18.49,17.78
Operating Profit,1.54,1.36,1.84,2.31,2.88,1.0,-1.3,-0.12,0.55,-1.17,-1.75
OPM %,37.84,24.77,25.56,29.62,25.4,9.3,-10.07,-0.74,3.26,-6.76,-10.92
Other Income,0.03,0.03,0.11,0.21,-0.06,0.18,0.03,0.02,0.35,0.0,0.69
Interest,0.0,0.0,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.06,0.00
Depreciation,0.05,0.06,0.17,0.3,0.35,0.25,0.22,0.01,0.21,0.13,0.11
Profit before tax,1.52,1.33,1.76,2.2,2.45,0.91,-1.52,-0.14,0.67,-1.36,-1.17
Tax %,11.84,12.78,11.93,6.82,2.45,35.16,5.26,-242.86,11.94,0.0,
Net Profit,1.34,1.15,1.55,2.06,2.39,0.59,-1.44,-0.49,0.59,-1.36,-1.15
EPS in Rs,0.66,0.38,5.04,5.71,6.63,1.62,-4.01,-1.36,1.64,-3.79,-3.17
