,2019-03-01,2019-09-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.98,5.56,7.66,8.54,8.29,8.57,8.02,8.55,7.48
Expenses,4.36,4.98,7.12,9.23,8.18,8.15,8.41,10.14,7.64
Operating Profit,0.62,0.58,0.54,-0.69,0.11,0.42,-0.39,-1.59,-0.16
OPM %,12.45,10.43,7.05,-8.08,1.33,4.9,-4.86,-18.6,-2.14
Other Income,0.11,0.03,0.05,-0.03,0.17,0.18,0.16,0.59,0.1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.03,0.09,0.09,-0.08,0.05,0.16,0.06,0.06,0.05
Profit before tax,0.7,0.52,0.5,-0.64,0.23,0.44,-0.29,-1.06,-0.11
Tax %,34.29,0.0,4.0,-51.56,4.35,20.45,-6.9,1.89,0.0
Net Profit,0.47,0.53,0.49,-0.98,0.22,0.35,-0.32,-1.04,-0.11
EPS in Rs,1.28,1.48,1.34,-2.67,0.58,0.97,-0.92,-2.84,-0.33
