,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1.21,0.11,1.63,6.75,-4.75,0.75,3.0,0.02,1.64,0.25
Cash from Investing Activity,-1.6,-0.13,-1.45,-2.6,-1.43,-1.57,-1.57,-2.61,-1.73,-0.36
Cash from Financing Activity,0.31,-0.04,0.3,4.49,0.0,0.0,0.0,0.0,0.0,0.0
Net Cash Flow,-0.08,-0.06,0.48,8.64,-6.18,-0.81,1.43,-2.59,-0.09,-0.1
