,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,776,778,781,786,789,790,790,791,792,792
Reserves,34,30,27,28,86,199,127,40,62,73
Borrowings,571,625,799,1011,1196,2017,2159,2128,2177,2358
Other Liabilities,515,572,604,632,701,756,738,674,698,734
Total Liabilities,1896,2004,2212,2458,2772,3763,3815,3633,3729,3957
Fixed Assets,1236,1231,1418,1460,1604,3307,3194,3051,2957,2952
CWIP,167,259,351,559,664,190,242,297,482,688
Investments,31,6,6,15,35,14,6,10,6,6
Other Assets,462,508,436,425,469,252,374,276,284,311
Total Assets,1896,2004,2212,2458,2772,3763,3815,3633,3729,3957
