,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,132,95,97.0,59.0,9.0,1.0,6.0,30.0,32.0,30
Expenses,134,95,103.0,76.0,37.0,15.0,19.0,30.0,36.0,38
Operating Profit,-2,0,-5.0,-17.0,-28.0,-14.0,-12.0,1.0,-4.0,-8
OPM %,-1,0,-6.0,-29.0,-299.0,-1727.0,-206.0,2.0,-13.0,-25
Other Income,4,1,0.0,1.0,1.0,0.0,24.0,5.0,-3.0,-3
Interest,12,9,14.0,14.0,15.0,1.0,0.0,2.0,4.0,4
Depreciation,4,2,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1
Profit before tax,-15,-10,-22.0,-33.0,-44.0,-18.0,9.0,1.0,-12.0,-16
Tax %,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-15,-10,-22.0,-33.0,-44.0,-18.0,9.0,1.0,-12.0,-16
EPS in Rs,,,-2.46,-3.75,-5.06,-2.01,4.47,0.59,-6.1,-7.87
