,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,56,56,58,59,59,59
Reserves,336,351,378,600,784,913,992
Borrowings,132,167,160,99,13,32,42
Other Liabilities,135,178,199,216,232,247,279
Total Liabilities,607,752,793,972,1088,1251,1373
Fixed Assets,327,500,536,549,566,624,689
CWIP,16,11,11,8,4,58,13
Investments,67,26,12,60,184,260,261
Other Assets,197,214,233,355,334,310,410
Total Assets,607,752,793,972,1088,1251,1373
