,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1590.0,1692.0,2139.0,1944.0,2243.0,2812.0,2991
Expenses,1476.0,1556.0,1996.0,1700.0,2031.0,2619.0,2773
Operating Profit,114.0,135.0,143.0,244.0,212.0,193.0,218
OPM %,7.0,8.0,7.0,13.0,9.0,7.0,7
Other Income,6.0,7.0,5.0,6.0,13.0,22.0,27
Interest,11.0,12.0,17.0,13.0,7.0,2.0,1
Depreciation,28.0,37.0,49.0,51.0,52.0,61.0,64
Profit before tax,80.0,93.0,82.0,186.0,166.0,152.0,179
Tax %,29.0,33.0,39.0,32.0,20.0,19.0,
Net Profit,57.0,63.0,50.0,126.0,133.0,122.0,136
EPS in Rs,173.72,11.27,8.96,21.6,22.32,20.55,22.95
