,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,13,127,127
Reserves,112,112,112,112,112,112,112,112,111,111,21,23
Borrowings,0,0,0,0,0,0,0,0,0,0,1,1
Other Liabilities,0,0,0,0,0,0,0,0,0,0,1,4
Total Liabilities,124,124,124,125,125,125,124,124,124,124,150,156
Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,124,124,124,124,124,124,124,124,124,124,148,146
Other Assets,0,1,1,1,1,1,1,0,0,0,3,10
Total Assets,124,124,124,125,125,125,124,124,124,124,150,156
