,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,7,7,7,7,12,12,12,13,13,13,13,17.0
Reserves,46,53,64,74,89,113,131,164,189,209,235,156.0
Preference Capital,0,0,0,0,0,0,0,0,10,10,0,
Borrowings,215,232,232,246,294,330,421,496,474,600,554,476.0
Other Liabilities,185,196,247,248,296,517,560,568,466,311,379,368.0
Total Liabilities,453,489,549,574,691,971,1123,1241,1142,1133,1181,1018.0
Fixed Assets,21,40,41,37,34,43,44,54,50,47,49,49.0
CWIP,1,0,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,3,3,3,3,1,1,1,1.0
Other Assets,431,448,508,537,654,925,1076,1184,1091,1085,1131,969.0
Total Assets,453,489,549,574,691,971,1123,1241,1142,1133,1181,1018.0
