,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,50,50,50,50,58,63,62,63
Reserves,50,77,121,173,219,594,1610,1758,1939
Borrowings,0,18,84,79,53,20,16,140,181
Other Liabilities,158,55,168,185,302,350,964,916,984
Total Liabilities,228,200,423,487,625,1022,2653,2877,3167
Fixed Assets,9,33,182,170,176,193,952,953,951
CWIP,1,0,0,2,0,1,0,15,8
Investments,0,0,0,11,12,13,13,20,14
Other Assets,218,167,241,304,438,815,1688,1889,2194
Total Assets,228,200,423,487,625,1022,2653,2877,3167
