,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,367.0,458.0,505.0,845.0,956.0,1406.0,2002.0,3569.0,3976
Expenses,288.0,375.0,433.0,758.0,855.0,1231.0,1782.0,3124.0,3464
Operating Profit,80.0,82.0,72.0,87.0,101.0,175.0,220.0,445.0,512
OPM %,22.0,18.0,14.0,10.0,11.0,12.0,11.0,12.0,13
Other Income,4.0,5.0,5.0,8.0,-3.0,16.0,20.0,39.0,37
Interest,1.0,1.0,7.0,12.0,6.0,4.0,7.0,22.0,25
Depreciation,3.0,5.0,12.0,17.0,23.0,26.0,38.0,82.0,86
Profit before tax,80.0,81.0,57.0,65.0,69.0,162.0,195.0,382.0,438
Tax %,22.0,25.0,17.0,15.0,16.0,18.0,13.0,13.0,
Net Profit,63.0,61.0,48.0,56.0,58.0,133.0,170.0,333.0,369
EPS in Rs,31.37,12.13,9.74,11.38,11.65,23.1,26.36,52.38,58.48
