,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08
Reserves,5.33,5.79,4.7,4.92,5.15,5.49,-6.72,-35.8,-44.59,-50.09,-56.03,-59.37
Borrowings,10.82,16.69,19.77,19.5,21.58,42.57,39.59,37.18,44.57,48.78,53.22,53.65
Other Liabilities,33.85,30.82,28.73,41.54,49.63,34.13,11.4,7.36,7.33,7.49,7.18,9.4
Total Liabilities,57.08,60.38,60.28,73.04,83.44,89.27,51.35,15.82,14.39,13.26,11.45,10.76
Fixed Assets,8.03,7.55,7.48,6.52,12.88,12.24,11.65,11.01,10.37,9.77,9.15,8.62
CWIP,0.23,1.81,3.25,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.93,0.93,0.93,0.93,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,47.89,50.09,48.62,59.95,69.63,77.03,39.7,4.8100000000000005,4.02,3.49,2.3,2.14
Total Assets,57.08,60.38,60.28,73.04,83.44,89.27,51.35,15.82,14.39,13.26,11.45,10.76
