,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,74.63,74.63,74.63,74.63,74.63,74.63,74.63,74.63
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
DIIs,2.1,2.1,2.1,1.79,1.67,0.0,0.44,0.44
Public,23.27,23.27,23.27,23.58,23.71,25.37,24.9,24.9
No. of Shareholders,22034.0,20219.0,19440.0,18827.0,17896.0,18559.0,18043.0,18621.0
