,2022-09-01,2023-09-01
Sales,6.16,19.73
Expenses,5.1,18.33
Operating Profit,1.06,1.4
OPM %,17.21,7.1
Other Income,0.09,0.28
Interest,0.17,0.14
Depreciation,0.04,0.05
Profit before tax,0.94,1.49
Tax %,24.47,25.5
Net Profit,0.7,1.11
EPS in Rs,17.5,1.09
