,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,30.38,31.79,33.06,35.56,36.1,36.1
Public,69.62,68.21,66.94,64.44,63.9,63.9
No. of Shareholders,195.0,201.0,199.0,256.0,760.0,980.0
