,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,23.27,24.39,22.6,31.39,27.63,36.66
Expenses,21.9,22.88,21.0,29.49,25.86,33.99
Operating Profit,1.37,1.51,1.6,1.9,1.77,2.67
OPM %,5.89,6.19,7.08,6.05,6.41,7.28
Other Income,0.06,0.02,0.01,0.05,0.12,0.0
Interest,0.0,0.18,0.21,0.32,0.27,0.29
Depreciation,0.32,0.32,0.32,0.33,0.36,0.37
Profit before tax,1.11,1.03,1.08,1.3,1.26,2.01
Tax %,-2.7,29.13,58.33,23.08,30.95,26.87
Net Profit,1.13,0.74,0.45,0.99,0.87,1.46
EPS in Rs,1.13,0.74,0.45,0.99,0.87,1.46
