,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,1.0,37.0,-0,-0,-0,-0,-0,-0,-0,-0,8.0,15
Expenses,16.0,1.0,36.0,0,0,0,0,0,1,0,0,15.0,32
Operating Profit,-1.0,-1.0,0.0,-0,-0,-0,-0,-0,-1,-0,-0,-7.0,-17
OPM %,-7.0,-137.0,1.0,,,,,,,,,-97.0,-120
Other Income,2.0,1.0,0.0,-0,0,0,0,0,0,0,0,0.0,1
Interest,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,2
Depreciation,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,3
Profit before tax,1.0,0.0,0.0,-1,-0,0,0,0,-0,-0,-0,-8.0,-22
Tax %,-1.0,14.0,32.0,21,-0,-0,-0,75,-0,-0,-0,-9.0,
Net Profit,1.0,0.0,0.0,-0,-0,-0,0,0,-0,-0,-0,-9.0,-23
EPS in Rs,0.21,0.07,0.02,-0.04,-0.00,-0.00,0.01,0.00,-0.01,-0.01,-0.02,-0.46,-1.10
