,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,788,876,1051,964,1211.0,1069.0,1581.0,1447.0,1423.0,1124.0,627.0
Expenses,851,792,886,847,1129.0,923.0,1524.0,1377.0,1502.0,934.0,519.0
Operating Profit,-63,84,165,117,82.0,146.0,57.0,71.0,-78.0,191.0,108.0
OPM %,-8,10,16,12,7.0,14.0,4.0,5.0,-6.0,17.0,17.0
Other Income,-423,140,590,-321,80.0,433.0,1557.0,580.0,-46.0,-88.0,101.0
Interest,475,331,350,328,346.0,324.0,411.0,276.0,326.0,279.0,272.0
Depreciation,32,24,28,32,44.0,47.0,47.0,36.0,21.0,39.0,40.0
Profit before tax,-994,-132,377,-564,-228.0,209.0,1156.0,339.0,-471.0,-215.0,-103.0
Tax %,-0,-5,12,-2,-20.0,3.0,7.0,-0.0,0.0,-1.0,-19.0
Net Profit,-998,-138,332,-574,-272.0,202.0,1069.0,339.0,-471.0,-218.0,-123.0
EPS in Rs,,,,,-3.55,3.52,17.94,5.97,-7.84,-3.4,-1.74
