,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2733,4102.0,5525.0,4622
Expenses,2689,3606.0,5132.0,4332
Operating Profit,44,495.0,393.0,291
OPM %,2,12.0,7.0,6
Other Income,-552,441.0,2341.0,548
Interest,1530,1354.0,1350.0,1154
Depreciation,123,128.0,151.0,136
Profit before tax,-2161,-546.0,1232.0,-451
Tax %,-1,-19.0,8.0,
Net Profit,-2185,-652.0,1139.0,-473
EPS in Rs,,-10.73,19.6,-7.01
