,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.66,17.88,17.22,25.9,21.97,24.47,31.62,23.28,20.83,28.2,37.56,28.98,31.27
Expenses,16.72,15.19,13.67,19.55,18.18,20.17,24.55,19.86,18.74,22.85,28.74,23.55,24.81
Operating Profit,3.94,2.69,3.55,6.35,3.79,4.3,7.07,3.42,2.09,5.35,8.82,5.43,6.46
OPM %,19.07,15.04,20.62,24.52,17.25,17.57,22.36,14.69,10.03,18.97,23.48,18.74,20.66
Other Income,-0.0,-0.0,0.05,-0.0,-0.01,4.21,0.47,0.6,0.07,-0.0,0.57,-0.0,0.00
Interest,0.9,0.64,0.46,0.64,0.62,0.44,0.41,0.39,0.44,0.59,1.05,0.7,0.34
Depreciation,0.34,0.29,0.24,0.23,0.2,0.13,0.09,0.2,0.14,0.16,0.31,0.47,0.50
Profit before tax,2.7,1.76,2.9,5.48,2.96,7.94,7.04,3.43,1.58,4.6,8.03,4.26,5.62
Tax %,32.59,32.39,31.03,30.84,32.09,32.12,15.34,27.41,26.58,28.91,21.79,27.7,
Net Profit,1.82,1.19,2.0,3.78,2.01,5.39,5.96,2.49,1.17,3.26,6.27,3.08,4.05
EPS in Rs,1.32,0.86,1.45,2.73,1.45,3.9,4.31,1.8,0.85,2.36,4.53,2.23,2.93
