,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,57.33,64.16,62.06,73.2,76.32,48.68,27.05,0.00,9.22,6.1,8.3,0.62,1.21
Expenses,55.59,61.34,60.83,73.28,76.2,51.32,35.48,3.42,16.26,17.34,13.71,2.56,2.53
Operating Profit,1.74,2.82,1.23,-0.08,0.12,-2.64,-8.43,-3.42,-7.04,-11.24,-5.41,-1.94,-1.32
OPM %,3.04,4.4,1.98,-0.11,0.16,-5.42,-31.16,,-76.36,-184.26,-65.18,-312.9,-109.09
Other Income,2.2,0.71,1.35,2.57,3.11,7.31,11.02,2.49,7.65,10.28,4.58,2.22,2.74
Interest,0.84,0.79,0.32,0.22,0.12,0.18,0.28,0.22,0.16,0.1,0.03,0.0,0.00
Depreciation,1.99,1.33,1.37,0.27,0.66,0.62,0.7,0.84,1.36,1.37,0.95,1.28,1.44
Profit before tax,1.11,1.41,0.89,2.0,2.45,3.87,1.61,-1.99,-0.91,-2.43,-1.81,-1.0,-0.02
Tax %,63.06,23.4,14.61,22.5,42.45,24.03,27.33,51.76,8.79,25.93,23.2,19.0,
Net Profit,0.41,1.07,0.76,1.55,1.41,2.93,1.17,-0.97,-0.83,-1.81,-1.4,-0.81,0.16
EPS in Rs,0.15,0.39,0.27,0.56,0.51,1.06,0.42,-0.35,-0.3,-0.65,-0.51,-0.29,0.06
