,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.35,4.29,4.65,4.47,5.74,8.64,6.77,7.11,9.89
Expenses,4.7,3.72,4.03,3.08,3.96,3.98,8.93,5.27,7.42
Operating Profit,0.65,0.57,0.62,1.39,1.78,4.66,-2.16,1.84,2.47
OPM %,12.15,13.29,13.33,31.1,31.01,53.94,-31.91,25.88,24.97
Other Income,0.0,0.01,0.17,0.15,-0.04,0.19,4.0,0.01,0.02
Interest,0.01,0.03,0.03,0.27,0.25,0.09,0.01,0.01,0.02
Depreciation,0.41,0.23,0.27,0.25,0.26,0.27,0.42,0.43,0.63
Profit before tax,0.23,0.32,0.49,1.02,1.23,4.49,1.41,1.41,1.84
Tax %,34.78,78.12,26.53,31.37,28.46,12.69,15.6,21.28,20.11
Net Profit,0.15,0.07,0.36,0.7,0.88,3.93,1.19,1.11,1.48
EPS in Rs,0.04,0.02,0.09,0.18,0.23,0.9,0.27,0.25,0.34
