,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,28.55,28.55,28.55,25.63,25.63,25.63,22.7,22.57,22.57,22.57,22.57
FIIs,3.38,2.29,1.91,1.52,1.4,1.4,1.22,1.06,1.06,1.05,1.02
Public,68.08,69.17,69.55,72.85,72.97,72.97,76.08,76.38,76.38,76.38,76.41
No. of Shareholders,8322.0,7571.0,6845.0,6634.0,6415.0,6393.0,6590.0,6508.0,6676.0,6861.0,7359.0
