,Mar 2022,Mar 2023,TTM
Sales,19.5,25.63,32.41
Expenses,17.22,19.86,25.60
Operating Profit,2.28,5.77,6.81
OPM %,11.69,22.51,21.01
Other Income,0.33,4.23,4.22
Interest,0.08,0.64,0.13
Depreciation,1.32,1.2,1.75
Profit before tax,1.21,8.16,9.15
Tax %,41.32,17.89,
Net Profit,0.7,6.69,7.71
EPS in Rs,0.18,1.52,1.76
