,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3609,-2452,-8892,-11643,-17845,-25024,21206,19331,7088,657,4001
Cash from Investing Activity,5052,-635,-2093,-4997,-2107,368,-4220,8265,3103,1649,884
Cash from Financing Activity,5227,3090,10699,15330,22591,23775,-7335,-27934,-10632,-7444,-9142
Net Cash Flow,6671,3,-286,-1310,2638,-881,9650,-338,-440,-5138,-4257
