,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,62,67,71,84,85,85,85,84,89,89,90,94
Reserves,5006,5639,6561,10610,12038,14273,16397,15454,16045,16585,17272,18334
Borrowings,31286,35540,47487,61085,85301,111056,105756,79674,68805,61359,52403,48421
Other Liabilities,2787,3172,3110,3935,6274,7188,7866,7660,8299,3940,5180,6059
Total Liabilities,39141,44417,57229,75714,103697,132603,130104,102872,93238,81973,74945,72908
Fixed Assets,58,115,123,136,169,169,214,450,295,327,433,456
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,2308,2947,6164,10693,13617,14792,19717,12277,6146,5546,5370,5780
Other Assets,36775,41354,50942,64886,89912,117642,110173,90145,86796,76100,69142,66672
Total Assets,39141,44417,57229,75714,103697,132603,130104,102872,93238,81973,74945,72908
