,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,71.81,71.81,71.81,70.01,60.03,58.02,58.0,58.01
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
DIIs,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1
Public,28.18,28.18,28.18,29.98,39.96,41.97,41.99,41.47
No. of Shareholders,5047.0,5156.0,5533.0,5812.0,7181.0,9190.0,9187.0,14758.0
