,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,30,39,51,66,60,51,37,17,-5,-36,-50,-83
Borrowings,31,60,101,106,113,12,121,201,75,74,77,74
Other Liabilities,9,11,21,27,37,129,25,16,164,185,178,205
Total Liabilities,75,116,179,205,216,197,188,240,239,228,210,201
Fixed Assets,32,30,32,30,188,182,172,222,212,201,191,185
CWIP,24,70,135,166,9,5,5,5,5,6,5,6
Investments,0,0,0,0,0,0,0,0,9,0,1,0
Other Assets,20,15,12,9,18,10,10,13,13,21,13,10
Total Assets,75,116,179,205,216,197,188,240,239,228,210,201
