,Mar 2020,Mar 2022,Mar 2023,TTM
Sales,87.0,100.0,135.0,183
Expenses,85.0,94.0,129.0,174
Operating Profit,2.0,6.0,6.0,9
OPM %,2.0,6.0,4.0,5
Other Income,1.0,-1.0,1.0,2
Interest,2.0,1.0,2.0,4
Depreciation,1.0,1.0,4.0,11
Profit before tax,0.0,4.0,1.0,-4
Tax %,164.0,26.0,22.0,
Net Profit,-0.0,3.0,1.0,-5
EPS in Rs,-0.44,5.4,0.86,-0.45
