,2022-09-01,2023-03-01,2023-09-01
Sales,55.0,80.0,104.0
Expenses,55.0,74.0,99.0
Operating Profit,0.0,5.0,4.0
OPM %,1.0,7.0,4.0
Other Income,0.0,1.0,1.0
Interest,1.0,2.0,3.0
Depreciation,1.0,3.0,7.0
Profit before tax,-1.0,2.0,-5.0
Tax %,59.0,37.0,-21.0
Net Profit,-0.0,1.0,-6.0
EPS in Rs,-0.01,1.14,-1.59
