,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
Reserves,10.79,10.56,10.68,11.16,11.14,10.71,8.47,5.5600000000000005,3.04,1.86,0.02,-0.65
Borrowings,3.43,4.33,2.94,4.7,6.85,6.99,5.82,8.93,7.5,6.8,7.14,3.41
Other Liabilities,4.73,4.21,3.72,7.37,6.63,6.41,6.39,7.38,7.11,5.54,3.7,9.24
Total Liabilities,23.93,24.08,22.32,28.21,29.6,29.09,25.66,26.85,22.63,19.18,15.84,16.98
Fixed Assets,5.25,3.95,3.95,3.53,3.52,3.29,2.44,3.54,3.22,2.15,1.92,2.89
CWIP,0.0,0.0,0.0,0.17,0.25,0.25,0.25,0.25,0.25,0.38,1.51,0.17
Investments,4.0,3.74,3.74,1.0,1.0,1.15,1.27,1.67,1.69,1.39,1.39,1.36
Other Assets,14.68,16.39,14.63,23.51,24.83,24.4,21.7,21.39,17.47,15.26,11.02,12.56
Total Assets,23.93,24.08,22.32,28.21,29.6,29.09,25.66,26.85,22.63,19.18,15.84,16.98
