,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,18.2,21.06,21.75,23.1,28.07,32.12,24.01,18.06,12.61,9.66,8.23,9.27,8.24
Expenses,19.95,20.51,20.31,21.67,27.34,32.32,26.93,21.03,15.67,13.72,10.0,9.86,9.66
Operating Profit,-1.75,0.55,1.44,1.43,0.73,-0.2,-2.92,-2.97,-3.06,-4.06,-1.77,-0.59,-1.42
OPM %,-9.62,2.61,6.62,6.19,2.6,-0.62,-12.16,-16.45,-24.27,-42.03,-21.51,-6.36,-17.23
Other Income,2.72,0.52,0.54,0.89,1.09,1.4,1.55,1.3,1.75,4.13,0.64,0.72,0.86
Interest,0.33,0.52,0.43,0.36,0.53,0.64,0.53,0.81,0.82,0.83,0.4,0.5,0.54
Depreciation,0.55,0.46,0.37,0.38,0.6,0.4,0.4,0.4,0.38,0.34,0.29,0.3,0.31
Profit before tax,0.09,0.09,1.18,1.58,0.69,0.16,-2.3,-2.88,-2.51,-1.1,-1.82,-0.67,-1.41
Tax %,0.0,33.33,43.22,33.54,27.54,12.5,2.17,-1.04,-0.4,-6.36,-0.55,0.0,
Net Profit,0.09,0.05,0.68,1.05,0.49,0.15,-2.24,-2.91,-2.52,-1.17,-1.84,-0.67,-1.41
EPS in Rs,0.19,0.1,1.41,2.17,1.01,0.31,-4.63,-6.02,-5.21,-2.42,-3.81,-1.39,-2.91
