,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.63,5.11,4.44,2.6,4.82,5.14,5.34,5.66,11.84,11.18,20.48,58.83,93.35
Expenses,6.34,4.63,4.54,2.85,3.64,3.68,3.73,4.01,10.3,9.74,17.59,53.47,83.99
Operating Profit,0.29,0.48,-0.1,-0.25,1.18,1.46,1.61,1.65,1.54,1.44,2.89,5.36,9.36
OPM %,4.37,9.39,-2.25,-9.62,24.48,28.4,30.15,29.15,13.01,12.88,14.11,9.11,10.03
Other Income,2.23,-2.65,0.19,1.12,-0.38,0.07,0.11,0.04,0.11,0.16,0.08,1.2,2.03
Interest,0.02,0.03,0.01,0.0,0.0,0.01,0.04,0.0,0.0,0.03,0.29,0.28,0.26
Depreciation,0.45,0.73,0.78,0.6,0.45,0.47,0.74,0.96,1.48,1.47,1.66,1.84,1.99
Profit before tax,2.05,-2.93,-0.7,0.27,0.35,1.05,0.94,0.73,0.17,0.1,1.02,4.44,9.14
Tax %,53.66,0.0,-8.57,51.85,65.71,52.38,44.68,36.99,82.35,-90.0,26.47,0.9,
Net Profit,0.95,-2.93,-0.76,0.13,0.12,0.5,0.53,0.46,0.04,0.19,0.75,4.41,9.14
EPS in Rs,0.11,-0.35,-0.69,0.12,0.11,0.45,0.48,0.42,0.04,0.17,0.68,4.01,8.38
