,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10
Reserves,292,352,269,314,405,408,513,696,876,978,1036
Borrowings,20,14,5,1,1,18,67,112,379,266,231
Other Liabilities,69,87,107,188,110,113,160,181,256,240,232
Total Liabilities,391,462,391,512,526,550,750,1000,1521,1495,1509
Fixed Assets,149,153,142,202,207,213,296,343,1059,1121,1148
CWIP,1,0,1,1,0,6,3,0,6,20,0
Investments,132,168,101,142,102,33,14,10,16,15,38
Other Assets,109,141,147,167,216,298,437,647,440,340,323
Total Assets,391,462,391,512,526,550,750,1000,1521,1495,1509
