,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.45,0.98,1.01,3.71,0.00,0.03,0.08,4.85,17.47,26.08,42.51,50.91,44.62
Expenses,0.18,0.1,3.85,8.87,0.07,0.35,0.39,6.41,20.01,25.25,33.68,38.92,32.39
Operating Profit,0.27,0.88,-2.84,-5.16,-0.07,-0.32,-0.31,-1.56,-2.54,0.83,8.83,11.99,12.23
OPM %,60.0,89.8,-281.19,-139.08,,-1066.67,-387.5,-32.16,-14.54,3.18,20.77,23.55,27.41
Other Income,1.08,0.17,0.0,2.08,0.69,8.14,0.47,5.84,2.37,0.18,0.94,1.88,1.57
Interest,0.85,0.47,0.31,0.2,0.10,0.0,0.0,0.19,3.54,3.86,4.1,3.6,3.29
Depreciation,0.7,0.7,0.7,1.16,1.16,0.28,0.11,0.61,1.54,1.59,2.14,2.43,2.45
Profit before tax,-0.2,-0.12,-3.85,-4.44,-0.64,7.54,0.05,3.48,-5.25,-4.44,3.53,7.84,8.06
Tax %,0.0,0.0,0.0,0.0,0.00,0.0,0.0,18.39,7.43,0.0,0.0,0.0,
Net Profit,-0.2,-0.12,-3.85,-4.44,-0.64,7.54,0.05,2.84,-4.87,-4.45,3.53,7.84,8.06
EPS in Rs,-0.15,-0.09,-2.85,-3.29,-0.47,5.59,0.04,2.1,-3.61,-3.3,2.61,5.81,5.98
