,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.33,72.33,74.99,74.99,74.99,74.99,74.99,74.99,74.99
DIIs,0.59,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48
Government,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public,25.6,26.19,23.53,23.53,23.53,23.53,23.53,23.54,23.54
No. of Shareholders,1762.0,1735.0,1609.0,1584.0,1458.0,1482.0,1847.0,1982.0,2147.0
