,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,306,397.0,643.0,648.0,567
Expenses,258,328.0,538.0,576.0,516
Operating Profit,49,69.0,105.0,72.0,51
OPM %,16,17.0,16.0,11.0,9
Other Income,6,0.0,0.0,1.0,1
Interest,7,7.0,7.0,6.0,5
Depreciation,6,7.0,7.0,8.0,9
Profit before tax,42,56.0,91.0,59.0,39
Tax %,18,24.0,26.0,26.0,
Net Profit,35,42.0,68.0,44.0,29
EPS in Rs,,32.62,52.15,33.41,22.18
