,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,13,13,13,13
Reserves,127,156,219,246,253
Borrowings,67,57,62,50,34
Other Liabilities,25,33,30,33,31
Total Liabilities,219,259,324,342,331
Fixed Assets,126,126,141,156,153
CWIP,9,29,42,35,39
Investments,0,0,0,0,0
Other Assets,83,103,141,151,139
Total Assets,219,259,324,342,331
