,2017-03-01,2018-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,2,2,2,7,7,15
Reserves,16,22,29,36,53,59,60
Borrowings,24,45,35,42,74,113,126
Other Liabilities,2,5,12,12,7,51,74
Total Liabilities,43,73,78,91,141,230,285
Fixed Assets,26,46,37,36,37,81,80
CWIP,2,0,0,0,41,3,13
Investments,0,2,4,3,3,3,3
Other Assets,15,25,37,53,61,143,190
Total Assets,43,73,78,91,141,230,285
