,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,45.0,47.0,58.0,60.0,129.0,219.0,317
Expenses,38.0,39.0,45.0,50.0,115.0,196.0,287
Operating Profit,7.0,8.0,13.0,10.0,13.0,23.0,30
OPM %,15.0,17.0,23.0,16.0,10.0,11.0,10
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1
Interest,2.0,2.0,4.0,3.0,3.0,9.0,12
Depreciation,4.0,4.0,6.0,4.0,5.0,8.0,7
Profit before tax,1.0,2.0,4.0,3.0,6.0,8.0,13
Tax %,49.0,20.0,17.0,20.0,25.0,27.0,
Net Profit,1.0,1.0,3.0,3.0,5.0,6.0,9
EPS in Rs,1.76,3.59,8.36,5.8,3.17,3.85,6.35
