,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,14,14,14,13,13,12,12,12,11,11
Reserves,331,502,741,913,1001,999,994,947,1232,1269,1354,1645
Borrowings,3,1,1,2,5,3,7,6,2,1,1,0
Other Liabilities,520,512,402,432,509,449,536,612,714,596,683,671
Total Liabilities,868,1028,1158,1361,1528,1465,1550,1577,1960,1877,2048,2328
Fixed Assets,137,144,161,202,200,189,240,250,246,242,261,258
CWIP,8,12,62,20,34,37,38,18,31,43,133,155
Investments,132,278,295,506,657,623,510,384,599,517,562,792
Other Assets,590,595,641,633,637,615,763,925,1085,1075,1092,1124
Total Assets,868,1028,1158,1361,1528,1465,1550,1577,1960,1877,2048,2328
