,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,160.72,157.21,171.56,112.51,20.02,17.18,27.72,34.18
Expenses,155.86,153.89,173.24,126.17,21.98,19.22,28.27,34.30
Operating Profit,4.86,3.32,-1.68,-13.66,-1.96,-2.04,-0.55,-0.12
OPM %,3.02,2.11,-0.98,-12.14,-9.79,-11.87,-1.98,-0.35
Other Income,3.35,4.52,1.59,6.55,6.98,3.4,4.39,4.08
Interest,1.82,2.05,1.48,0.91,0.31,0.31,0.16,0.09
Depreciation,1.05,1.14,1.18,0.65,0.58,0.63,0.84,0.86
Profit before tax,5.34,4.65,-2.75,-8.67,4.13,0.42,2.84,3.01
Tax %,35.77,37.63,-4.73,17.88,17.19,-164.29,20.42,
Net Profit,3.43,2.9,-2.89,-7.12,3.42,1.1,2.25,2.35
EPS in Rs,7.46,6.3,-6.28,-15.48,7.43,2.39,4.89,5.11
