,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,77.15,64.03,65.34,38.61,208.21,239.86,257.03
Inventory Days,63.42,71.3,49.39,2.02,13.25,29.36,18.25
Days Payable,106.58,53.75,60.94,33.71,303.56,432.26,235.93
Cash Conversion Cycle,33.98,81.58,53.79,6.92,-82.11,-163.04,39.35
Working Capital Days,87.53,82.77,76.12,66.96,374.12,418.75,265.72
ROCE %,,11.41,-2.18,-23.57,10.14,1.31,6.29
