,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Reserves,42.13,44.13,40.72,32.67,35.85,36.72,38.72,38.66
Borrowings,11.64,10.31,8.4,5.99,3.27,3.62,0.2,1.03
Other Liabilities,54.06,52.35,54.87,20.8,14.49,15.39,12.72,15.53
Total Liabilities,112.43,111.39,108.59,64.06,58.21,60.33,56.24,59.82
Fixed Assets,15.07,15.23,14.58,13.84,13.69,13.95,13.36,14.69
CWIP,0.52,0.05,0.25,0.24,0.0,0.0,0.02,0.35
Investments,0.0,0.0,0.0,0.0,0.0,7.4,1.25,4.36
Other Assets,96.84,96.11,93.76,49.98,44.52,38.98,41.61,40.42
Total Assets,112.43,111.39,108.59,64.06,58.21,60.33,56.24,59.82
