,Mar 2022,Mar 2023,TTM
Sales,4.98,5.63,6.14
Expenses,3.81,4.47,4.83
Operating Profit,1.17,1.16,1.31
OPM %,23.49,20.6,21.34
Other Income,0.06,0.12,0.16
Interest,0.05,0.04,0.05
Depreciation,0.19,0.25,0.22
Profit before tax,0.99,0.99,1.20
Tax %,26.26,30.3,
Net Profit,0.72,0.7,0.86
EPS in Rs,16.74,1.26,1.70
