,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.24,1.38,1.37,1.39,1.49,1.89,1.37
Expenses,0.94,1.08,1.09,1.06,1.16,1.59,1.02
Operating Profit,0.3,0.3,0.28,0.33,0.33,0.3,0.35
OPM %,24.19,21.74,20.44,23.74,22.15,15.87,25.55
Other Income,0.01,0.03,0.02,0.04,0.06,0.05,0.01
Interest,0.01,0.01,0.01,0.01,0.01,0.02,0.01
Depreciation,0.05,0.06,0.06,0.06,0.06,0.05,0.05
Profit before tax,0.25,0.26,0.23,0.3,0.32,0.28,0.3
Tax %,24.0,26.92,26.09,30.0,28.12,25.0,26.67
Net Profit,0.18,0.19,0.17,0.21,0.22,0.21,0.22
EPS in Rs,4.19,4.42,0.44,0.54,0.39,0.38,0.39
