,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.57,18.2,19.4,17.11,15.26,20.63,18.92,23.27,15.57,11.54,15.27,21.8,22.72
Expenses,11.53,16.28,17.72,15.78,14.15,18.92,17.65,21.8,14.48,10.89,14.39,20.64,21.25
Operating Profit,2.04,1.92,1.68,1.33,1.11,1.71,1.27,1.47,1.09,0.65,0.88,1.16,1.47
OPM %,15.03,10.55,8.66,7.77,7.27,8.29,6.71,6.32,7.0,5.63,5.76,5.32,6.47
Other Income,-0.0,0.01,0.03,0.01,0.01,0.01,0.02,0.37,0.02,0.03,0.02,0.08,0.07
Interest,0.98,0.84,0.68,0.41,0.27,0.46,0.38,0.37,0.36,0.22,0.25,0.39,0.48
Depreciation,0.95,1.01,0.91,0.77,0.67,1.06,0.86,0.91,0.72,0.69,0.62,0.66,0.81
Profit before tax,0.11,0.08,0.12,0.16,0.18,0.2,0.05,0.56,0.03,-0.23,0.03,0.19,0.25
Tax %,27.27,25.0,33.33,31.25,27.78,50.0,-120.0,25.0,66.67,13.04,-33.33,36.84,
Net Profit,0.07,0.05,0.09,0.11,0.13,0.1,0.11,0.41,0.02,-0.19,0.04,0.12,0.16
EPS in Rs,0.23,0.16,0.29,0.36,0.42,0.32,0.36,1.33,0.06,-0.62,0.13,0.39,0.51
