,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,137,191.0,251.0,369.0,322
Expenses,112,191.0,435.0,209.0,225
Operating Profit,25,-0.0,-184.0,160.0,97
OPM %,19,-0.0,-74.0,43.0,30
Other Income,72,30.0,50.0,6.0,23
Interest,25,21.0,86.0,117.0,112
Depreciation,8,8.0,9.0,7.0,6
Profit before tax,65,1.0,-229.0,41.0,2
Tax %,18,-563.0,-1.0,50.0,
Net Profit,53,6.0,-233.0,20.0,11
EPS in Rs,,0.21,-7.89,0.69,0.37
