,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,116,144,-81,-81
Cash from Investing Activity,17,23,367,75
Cash from Financing Activity,-143,-161,-279,96
Net Cash Flow,-9,6,7,89
