,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,75.71,73.24,129.36,174.83,184.12,172.76,170.15,147.86,154.97,179.62,210.46,240.09
Expenses,67.89,64.71,122.83,168.81,178.7,158.09,162.68,141.13,147.3,172.86,202.49,232.67
Operating Profit,7.82,8.53,6.53,6.02,5.42,14.67,7.47,6.73,7.67,6.76,7.97,7.42
OPM %,10.33,11.65,5.05,3.44,2.94,8.49,4.39,4.55,4.95,3.76,3.79,3.09
Other Income,2.03,0.35,-1.88,5.69,3.06,-6.49,0.03,0.2,0.34,0.32,1.66,0.52
Interest,1.78,3.43,0.14,2.68,3.82,1.82,2.37,2.21,1.94,2.3,2.34,2.19
Depreciation,3.52,2.6,3.09,3.09,3.09,3.1,3.15,3.15,3.15,3.18,3.42,3.18
Profit before tax,4.55,2.85,1.42,5.94,1.57,3.26,1.98,1.57,2.92,1.6,3.87,2.57
Tax %,38.46,48.42,-6.34,17.17,29.3,41.72,7.58,48.41,35.62,39.38,14.73,36.19
Net Profit,2.8,1.48,1.51,4.93,1.11,1.9,1.83,0.81,1.88,0.97,3.29,1.64
EPS in Rs,1.33,0.71,0.72,2.35,0.53,0.91,0.87,0.39,0.9,0.46,1.57,0.78
