,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,38.52,38.52,38.52,38.52,38.41,38.3
FIIs,4.18,5.13,9.23,8.26,5.75,5.69
DIIs,19.05,19.85,22.57,26.3,27.6,29.98
Government,0.26,0.0,0.0,0.0,0.0,0.0
Public,37.99,36.5,29.68,26.92,28.23,26.04
No. of Shareholders,30497.0,30302.0,46207.0,80208.0,80016.0,87598.0
