,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,216,1600.0,1864.0,2062.0,2033.0,2448.0,2529.0,2669
Expenses,193,1461.0,1721.0,1885.0,1813.0,2217.0,2378.0,2504
Operating Profit,24,139.0,143.0,177.0,220.0,231.0,151.0,166
OPM %,11,9.0,8.0,9.0,11.0,9.0,6.0,6
Other Income,1,3.0,8.0,4.0,6.0,6.0,27.0,40
Interest,3,24.0,23.0,26.0,21.0,20.0,22.0,23
Depreciation,2,20.0,23.0,40.0,43.0,47.0,54.0,56
Profit before tax,20,98.0,105.0,114.0,162.0,170.0,102.0,126
Tax %,41,35.0,34.0,31.0,26.0,25.0,26.0,
Net Profit,12,64.0,69.0,79.0,120.0,127.0,76.0,95
EPS in Rs,,3.02,3.27,3.71,5.64,5.97,3.56,4.47
