,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,59,91,132,129,427,11,190
Cash from Investing Activity,4,-22,-31,-51,-151,78,-110
Cash from Financing Activity,-40,-62,-100,-103,-144,-80,-66
Net Cash Flow,23,7,1,-24,133,10,14
