,2016-03-01,2017-03-01,2018-03-01,2023-03-01
Debtor Days,34.34,27.93,137.78,13.75
Inventory Days,71.23,85.91,257.19,80.77
Days Payable,206.95,245.45,776.64,771.43
Cash Conversion Cycle,-101.38,-131.62,-381.66,-676.91
Working Capital Days,-100.68,-136.47,1497.35,-191.77
ROCE %,,0.05,0.05,
