,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,45,45,52,68,79,87,87,87,87,87,87,87
Reserves,-128,-192,-126,115,442,450,256,111,-92,-332,-584,-863
Borrowings,448,909,1262,1395,1135,1371,1448,1454,1179,1018,983,919
Other Liabilities,199,433,634,658,1275,1231,1298,1161,1201,1085,1168,1267
Total Liabilities,564,1196,1823,2236,2931,3139,3089,2813,2375,1858,1654,1410
Fixed Assets,184,451,768,895,1389,1711,2031,1762,1508,1236,1007,732
CWIP,12,69,170,199,538,429,153,99,59,55,86,61
Investments,2,2,2,2,2,5,5,15,20,11,14,2
Other Assets,366,674,883,1141,1001,993,901,937,788,555,547,615
Total Assets,564,1196,1823,2236,2931,3139,3089,2813,2375,1858,1654,1410
