,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,326,394,649,338,591,1238
Cash from Investing Activity,-139,-382,-858,-166,-291,-894
Cash from Financing Activity,-194,-12,218,-167,-295,-334
Net Cash Flow,-6,-1,9,5,5,10
