,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13
Reserves,826,1090,1375,1373,1670,2565,2949
Borrowings,315,361,753,676,478,231,133
Other Liabilities,436,455,1043,1007,1097,1364,1532
Total Liabilities,1590,1920,3184,3069,3259,4173,4627
Fixed Assets,1035,991,2010,1873,1757,1659,1642
CWIP,3,37,57,34,22,55,89
Investments,1,223,45,220,472,1310,1737
Other Assets,551,669,1072,942,1008,1149,1159
Total Assets,1590,1920,3184,3069,3259,4173,4627
