,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,451,660.0,812.0,807.0,1215.0,1728.0,1971.0,2074
Expenses,433,638.0,784.0,773.0,1164.0,1653.0,1893.0,1985
Operating Profit,18,22.0,28.0,34.0,51.0,75.0,79.0,89
OPM %,4,3.0,3.0,4.0,4.0,4.0,4.0,4
Other Income,3,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,12,10.0,10.0,10.0,11.0,15.0,13.0,13
Depreciation,1,1.0,2.0,3.0,4.0,5.0,5.0,5
Profit before tax,8,11.0,16.0,22.0,37.0,55.0,61.0,71
Tax %,35,28.0,28.0,25.0,25.0,26.0,25.0,
Net Profit,5,8.0,12.0,17.0,27.0,40.0,45.0,53
EPS in Rs,,3.66,5.3,7.49,12.34,18.17,20.36,23.81
