,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.13,28.79,26.5,25.82,31.22,34.81,31.78,26.96,17.82,16.61,11.52,14.22,13.75
Expenses,19.51,26.44,23.22,22.17,24.84,27.64,26.81,23.23,16.74,15.02,11.95,13.48,14.10
Operating Profit,1.62,2.35,3.28,3.65,6.38,7.17,4.97,3.73,1.08,1.59,-0.43,0.74,-0.35
OPM %,7.67,8.16,12.38,14.14,20.44,20.6,15.64,13.84,6.06,9.57,-3.73,5.2,-2.55
Other Income,1.46,0.07,2.4,0.35,2.2,0.1,0.9,1.26,4.15,5.82,1.12,1.42,0.76
Interest,3.67,4.38,4.61,4.62,3.6,3.06,3.01,2.83,2.78,2.29,1.73,1.94,1.87
Depreciation,2.82,3.09,2.75,2.65,2.58,2.66,2.41,2.41,2.23,2.5,1.76,1.38,1.11
Profit before tax,-3.41,-5.05,-1.68,-3.27,2.4,1.55,0.45,-0.25,0.22,2.62,-2.8,-1.16,-2.57
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-3.41,-5.05,-1.68,-3.26,2.41,1.55,0.45,-0.26,0.22,2.63,-2.81,-1.16,-2.57
EPS in Rs,-6.48,-9.59,-3.19,-6.19,4.58,2.94,0.85,-0.49,0.42,5.0,-5.34,-2.2,-4.88
