,2011-03-01,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,9,13,13,13,13,13,13
Reserves,5,6,9,21,24,28,96,97,106,109,113,115
Borrowings,11,13,18,24,34,59,53,35,60,31,32,47
Other Liabilities,8,9,12,34,35,50,46,25,54,31,40,58
Total Liabilities,28,32,43,84,98,146,208,171,233,184,198,234
Fixed Assets,9,10,11,14,23,29,71,84,108,94,86,82
CWIP,0,0,0,2,1,25,7,24,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,18,22,32,68,75,92,129,63,125,90,112,151
Total Assets,28,32,43,84,98,146,208,171,233,184,198,234
