,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,83.35,69.9,85.83,41.33,75.11,86.12,88.67
Expenses,78.35,62.2,78.99,51.12,86.09,86.79,85.86
Operating Profit,5.0,7.7,6.84,-9.79,-10.98,-0.67,2.81
OPM %,6.0,11.02,7.97,-23.69,-14.62,-0.78,3.17
Other Income,-0.1,0.15,0.23,0.1,-0.06,1.21,-0.02
Interest,0.98,1.1,1.01,1.05,0.92,0.95,0.89
Depreciation,1.73,1.69,1.8,1.71,1.71,1.62,1.56
Profit before tax,2.19,5.06,4.26,-12.45,-13.67,-2.03,0.34
Tax %,38.36,31.62,28.4,4.5,-6.0,-6.4,
Net Profit,1.34,3.46,3.05,-11.9,-14.49,-2.17,-0.76
EPS in Rs,4.51,8.51,7.51,-29.28,-35.66,-5.34,-1.87
